date,merchant,amount,category
2023-08-01,Rent Payment,10000,Rent
2023-08-02,Swiggy,450,Food
2023-08-03,Amazon,2500,Shopping
2023-08-04,Netflix,499,Subscriptions
2023-08-05,Zomato,650,Food
2023-08-06,Uber,150,Transport
2023-08-07,Big Bazaar,1200,Shopping
2023-08-08,Flipkart,800,Shopping
2023-08-09,Swiggy,500,Food
2023-08-10,Electricity Bill,1200,Utilities
2023-08-12,Zomato,700,Food
2023-08-13,Game Console,15000,Entertainment
2023-08-14,Swiggy,480,Food
2023-08-15,Amazon Prime,199,Subscriptions
2023-08-16,Spotify,199,Subscriptions
2023-08-17,Gym Membership,800,Entertainment
2023-08-18,Flipkart,900,Shopping
2023-08-20,Uber,200,Transport
2023-08-21,Swiggy,520,Food
2023-08-22,iXigo Travel,8500,Travel
2023-08-25,Rent Payment,10000,Rent
2023-08-26,Swiggy,450,Food
2023-08-27,Netflix,499,Subscriptions
2023-09-01,Rent Payment,10000,Rent
2023-09-02,Swiggy,600,Food
2023-09-03,Amazon,3200,Shopping
2023-09-05,Zomato,800,Food
2023-09-06,Electricity Bill,1150,Utilities
2023-09-08,Big Bazaar,1500,Shopping
2023-09-10,Swiggy,550,Food
2023-09-12,Restaurant,1800,Food
2023-09-14,Netflix,499,Subscriptions
2023-09-15,Spotify,199,Subscriptions
2023-09-16,Flipkart,700,Shopping
2023-09-18,Uber,250,Transport
2023-09-20,Swiggy,480,Food
2023-09-22,Gaming Tournament,2000,Entertainment
2023-09-25,Rent Payment,10000,Rent
2023-09-26,Swiggy,500,Food
2023-09-27,Amazon Prime,199,Subscriptions
2023-10-01,Rent Payment,10000,Rent
2023-10-02,Swiggy,520,Food
2023-10-03,Amazon,2800,Shopping
2023-10-05,Zomato,750,Food
2023-10-06,Water Bill,500,Utilities
2023-10-07,Electricity Bill,1300,Utilities
2023-10-09,Swiggy,600,Food
2023-10-10,Big Bazaar,1100,Shopping
2023-10-12,Netflix,499,Subscriptions
2023-10-14,Spotify,199,Subscriptions
2023-10-15,Gym,800,Entertainment
2023-10-16,Flipkart,950,Shopping
2023-10-18,Uber,300,Transport
2023-10-20,Swiggy,480,Food
2023-10-22,Movie Ticket,400,Entertainment
2023-10-25,Rent Payment,10000,Rent
2023-10-26,Restaurant,2200,Food
2023-10-27,Amazon Prime,199,Subscriptions
2023-11-01,Rent Payment,10000,Rent
2023-11-02,Swiggy,550,Food
2023-11-03,Amazon,4500,Shopping
2023-11-05,Zomato,900,Food
2023-11-06,Electricity Bill,1250,Utilities
2023-11-08,Swiggy,620,Food
2023-11-10,Big Bazaar,1300,Shopping
2023-11-12,Netflix,499,Subscriptions
2023-11-14,Spotify,199,Subscriptions
2023-11-15,Gym,800,Entertainment
2023-11-16,Flipkart,1100,Shopping
2023-11-18,Uber,350,Transport
2023-11-20,Swiggy,480,Food
2023-11-22,Conference Ticket,3000,Entertainment
2023-11-25,Rent Payment,10000,Rent
2023-11-26,Restaurant,2500,Food
2023-11-27,Amazon Prime,199,Subscriptions
2023-12-01,Rent Payment,10000,Rent
2023-12-02,Swiggy,650,Food
2023-12-03,Amazon,5200,Shopping
2023-12-05,Zomato,850,Food
2023-12-06,Year-end Shopping,12000,Shopping
2023-12-08,Swiggy,700,Food
2023-12-10,Big Bazaar,1600,Shopping
2023-12-12,Netflix,499,Subscriptions
2023-12-14,Spotify,199,Subscriptions
2023-12-15,Gym,800,Entertainment
2023-12-16,New Year Trip,18500,Travel
2023-12-18,Uber,400,Transport
2023-12-20,Swiggy,600,Food
2023-12-22,Movie Marathon,800,Entertainment
2023-12-25,Rent Payment,10000,Rent
2023-12-26,Restaurant,3000,Food
2023-12-27,Amazon Prime,199,Subscriptions
